식별번호,포션 이름(가제),툴팁,리소스
100,열정의 포션,작지만 뜨겁게 타오르는 열정의 기운이 담긴 포션. 화끈하고 매콤한 향과 얼큰한 맛이 느껴진다.,Admurin's Pixel Items\PixelItems\Potions\SpritesheetsItem_Sheet_Potions/Item_Sheet_Potions_41
101,늪지의 포션,습하고 잔잔한 늪지의 기운이 담긴 포션. 질퍽한 진흙과 은은한 이끼향이 느껴진다.,Admurin's Pixel Items\PixelItems\Potions\SpritesheetsItem_Sheet_Potions/Item_Sheet_Potions_43
102,하늘의 포션,광활하고 청명한 하늘의 기운이 담긴 포션. 신선한 바람과 구름의 상쾌하고 시원한 향이 느껴진다.,Admurin's Pixel Items\PixelItems\Potions\SpritesheetsItem_Sheet_Potions/Item_Sheet_Potions_44
103,사막의 포션,금빛 모래가 반짝이는 사막의 기운이 담긴 포션. 건조하고 따뜻한 모래와 은은한 허브의 향기가 느껴진다.,Admurin's Pixel Items\PixelItems\Potions\Spritesheets\Item_Sheet_Potions/Item_Sheet_Potions_45
104,정글의 포션,잎사귀와 덩굴이 가득한 정글의 기운이 담긴 포션. 상큼하고 달달한 과일의 맛과 향이 느껴진다.,Admurin's Pixel Items\PixelItems\Potions\Spritesheets\Item_Sheet_Potions/Item_Sheet_Potions_46
105,전령의 포션,재빠른 속도의 전령의 기운이 담긴 포션. 잘 익은 배와 꿀 냄새가 느껴진다.,Admurin's Pixel Items\PixelItems\Potions\Spritesheets\Item_Sheet_Potions/Item_Sheet_Potions_47
106,수풀의 포션,싱그럽게 우거진 수풀의 기운이 담긴 포션. 풀과 꽃의 향이 조화를 이룬 자연의 냄새가 느껴진다.,Admurin's Pixel Items\PixelItems\Potions\Spritesheets\Item_Sheet_Potions/Item_Sheet_Potions_48
107,몽환의 포션,신비롭고 아름다운 몽환의 기운이 담긴 포션. 부드럽지만 달콤하고 매혹적인 향이 느껴진다.,Admurin's Pixel Items\PixelItems\Potions\Spritesheets\Item_Sheet_Potions/Item_Sheet_Potions_49
108,나비의 포션,이제 막 날아오르려는 나비의 기운이 담긴 포션. 달콤한 과일향과 꽃 향기의 조화가 느껴진다.,Admurin's Pixel Items\PixelItems\Potions\Spritesheets\Item_Sheet_Potions/Item_Sheet_Potions_50
109,거미의 포션,위험하고 치명적인 거미의 기운이 담긴 포션. 끈적거리는 달콤하고 쌉싸름한 맛이 느껴진다.,Admurin's Pixel Items\PixelItems\Potions\Spritesheets\Item_Sheet_Potions/Item_Sheet_Potions_51
110,전격의 포션,강력한 힘을 담고 있는 전격의 기운이 담긴 포션. 강렬하고 톡 쏘는 냄새와 상쾌한 탄산감이 느껴진다.,Admurin's Pixel Items\PixelItems\Potions\Spritesheets\Item_Sheet_Potions/Item_Sheet_Potions_52
111,태양의 포션,눈부신 황금빛의 태양의 기운이 담긴 포션. 따뜻하고 상큼한 오렌지의 향과 맛이 느껴진다.,Admurin's Pixel Items\PixelItems\Potions\Spritesheets\Item_Sheet_Potions/Item_Sheet_Potions_53
112,새싹의 포션,자라나는 푸른 색의 새싹의 기운이 담긴 포션. 신선한 풀냄새와 풋풋하고 상쾌한 맛이 느껴진다.,Admurin's Pixel Items\PixelItems\Potions\Spritesheets\Item_Sheet_Potions/Item_Sheet_Potions_54
113,거목의 포션,묵직하고 거대한 거목의 기운이 담긴 포션. 깊고 진한 나무의 향과 고소하고 쌉싸름한 맛이 느껴진다.,Admurin's Pixel Items\PixelItems\Potions\Spritesheets\Item_Sheet_Potions/Item_Sheet_Potions_55
114,해변의 포션,파도치는 드넓은 모래밭이 펼쳐진 해변의 기운이 담긴 포션. 가볍지만 상쾌한 소금의 맛과 은은하게 비릿한 향이 느껴진다.,Admurin's Pixel Items\PixelItems\Potions\Spritesheets\Item_Sheet_Potions/Item_Sheet_Potions_56
115,황천의 포션,메마르고 어두운 황천의 기운이 담긴 포션. 차갑고 묵직한 향이 나며 독특한 쓴 맛과 은은한 단 맛이 느껴진다.,Admurin's Pixel Items\PixelItems\Potions\Spritesheets\Item_Sheet_Potions/Item_Sheet_Potions_57
116,바다의 포션,깊고 웅장한 바다의 기운이 담긴 포션. 서늘하고 묵직한 깊은 바다의 향과 맛이 느껴진다.,Admurin's Pixel Items\PixelItems\Potions\Spritesheets\Item_Sheet_Potions/Item_Sheet_Potions_58
117,사랑의 포션,부드럽고 향긋한 사랑의 기운이 담긴 포션. 달콤한 장미 향과 은은한 바닐라 향과 달콤하고 부드러운 맛이 느껴진다.,Admurin's Pixel Items\PixelItems\Potions\Spritesheets\Item_Sheet_Potions/Item_Sheet_Potions_59
118,윤회의 포션,무한히 반복되는 윤회의 기운이 담긴 포션. 깊고 복합적인 향이 나며 무지개처럼 다양한 맛이 느껴진다.,Admurin's Pixel Items\PixelItems\Potions\Spritesheets\Item_Sheet_Potions/Item_Sheet_Potions_60